gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts
RPRC001008,1257,906,787,467
RPRC015469,289,233,213,142
RPRC003973,0,0,0,0
RPRC000764,924,710,490,312
RPRC003826,44,19,1,2
RPRC003806,1909,1383,638,390
RPRC003808,330,168,70,45
RPRC000377,840,640,204,190
RPRC001684,5086,2832,2437,1922
RPRC003805,2480,1620,1039,667
RPRC003825,10,7,1,0
RPRC003810,395,253,125,76
RPRC003802,880,547,443,291
RPRC003812,233,160,121,94
RPRC003801,1126,656,670,418
RPRC003813,1960,1362,617,423
RPRC003824,722,560,228,170
RPRC003800,394,275,90,69
RPRC003823,8,1,1,2
RPRC003821,2,6,0,0
RPRC003819,0,0,0,2
RPRC003818,0,0,0,0
RPRC003799,11928,7281,847,983
RPRC003798,1919,1321,927,629
RPRC003814,2,5,0,0
RPRC006828,4836,5564,17204,8199
RPRC006788,1989,1234,1269,756
RPRC006787,4273,2772,1381,998
RPRC001685,1415,906,1483,1259
RPRC006796,1827,1321,757,561
RPRC006784,0,1,0,0
RPRC006795,0,0,0,0
RPRC006794,0,0,0,0
RPRC006793,0,0,0,0
RPRC003082,0,0,0,0
RPRC009543,0,0,0,0
RPRC005546,0,0,0,0
RPRC010117,972,630,624,413
RPRC010115,240,199,371,248
RPRC010140,930,604,967,583
RPRC010111,5107,3047,2412,1684
RPRC002091,3,0,0,1
RPRC000104,8,13,114,70
RPRC010106,635,456,152,122
RPRC010213,1595,1182,496,368
RPRC010212,3,4,1,5
RPRC010141,110,61,8,50
RPRC010211,473,508,108,89
RPRC010178,806,553,467,354
RPRC010210,1,0,0,0
RPRC010101,18,3,1,0
RPRC017577,1,1,0,0
RPRC010180,1758,1104,853,501
RPRC000614,17,20,3,7
RPRC010209,169,154,230,126
RPRC010208,1,0,0,0
RPRC010206,636,347,808,488
RPRC010099,52,46,14,6
RPRC010196,625,355,274,226
RPRC001342,375,550,94,98
RPRC000001,4,2,1,0
RPRC010198,2,2,0,0
RPRC010200,310,151,76,30
RPRC010098,70,28,2,6
RPRC010096,31,19,2,5
RPRC010205,1531,911,555,294
RPRC010085,75,52,2,0
RPRC010204,22,6,7,4
RPRC010202,28,15,10,24
RPRC010201,52,12,7,3
RPRC005775,75,75,17,45
RPRC005774,18,28,5,8
RPRC005773,467,386,156,172
RPRC005772,166,106,24,20
RPRC005893,101,64,20,11
RPRC005770,1888,1421,962,658
RPRC005891,1553,1167,649,443
RPRC005889,358,294,375,237
RPRC005749,1919,1467,495,423
RPRC001343,7,15,0,1
RPRC005748,45,25,13,9
RPRC005776,1070,35,90,91
RPRC005747,2128,1691,495,378
RPRC005887,113,89,116,89
RPRC005876,586,412,342,251
RPRC005790,7154,5562,3253,2444
RPRC005804,894,720,327,216
RPRC005805,1098,839,748,582
RPRC005746,1726,1268,661,486
RPRC005814,1569,1082,677,500
RPRC001344,1382,1093,495,366
RPRC001345,817,504,469,313
RPRC001346,698,549,553,368
RPRC005744,4692,2730,1101,890
RPRC005816,4193,3007,1258,1080
RPRC005742,2643,1807,1257,862
RPRC005741,628,1080,214,100
RPRC005740,3441,2136,656,466
RPRC005873,1014,664,674,535
RPRC001347,1324,851,1069,869
RPRC005737,11998,7661,6562,4398
RPRC005872,643,414,641,430
RPRC005818,934,707,618,415
RPRC001348,3603,2635,1314,948
RPRC016967,3,0,0,1
RPRC005863,14993,10342,9603,7227
RPRC005820,91,74,45,36
RPRC001349,410,187,63,125
RPRC005736,17594,12845,7176,4690
RPRC005862,1914,1200,397,313
RPRC005822,563,419,190,140
RPRC005735,62,41,51,21
RPRC005734,2146,1601,1702,958
RPRC005823,397,336,94,63
RPRC005710,2690,2637,1002,993
RPRC005692,2167,1703,393,299
RPRC005861,2423,1549,551,384
RPRC005825,109,111,27,41
RPRC005824,5,9,5,4
RPRC017291,0,0,0,0
RPRC009104,2,0,0,0
RPRC004199,9,7,10,11
RPRC000873,18,7,20,18
RPRC007040,0,0,0,0
RPRC004209,212,141,156,63
RPRC004201,1654,995,2477,1768
RPRC004200,0,2,0,1
RPRC013246,0,0,0,0
RPRC013245,0,0,0,0
RPRC009101,10,7,7,7
RPRC000883,318,330,154,136
RPRC001416,317,299,177,157
RPRC012424,0,0,0,0
RPRC016230,24,20,4,6
RPRC012423,735,405,401,305
RPRC012422,28,15,16,8
RPRC017126,0,0,0,0
RPRC015574,0,0,0,0
RPRC016469,0,0,0,0
RPRC000018,60,44,3,1
RPRC000219,34,28,9,26
RPRC001544,11,7,10,8
RPRC002531,2,1,1,0
RPRC002521,39,12,2,3
RPRC002517,134,142,16,41
RPRC002506,16769,242,104,4
RPRC002561,1,0,0,0
RPRC002554,6,3,3,0
RPRC001545,7172,4807,4154,2375
RPRC002551,0,1,0,0
RPRC000230,454,198,469,267
RPRC001546,2,1,0,0
RPRC002534,1,1,0,0
RPRC000596,7,4,5,4
RPRC002543,0,0,0,0
RPRC007699,0,3,0,0
RPRC007697,0,0,0,0
RPRC007671,2697,1877,721,468
RPRC007695,2,1,1,0
RPRC007692,1766,1062,540,381
RPRC001547,2319,1618,903,620
RPRC007673,3,2,0,0
RPRC007674,501,298,279,161
RPRC001548,9807,4247,5182,2893
RPRC007690,0,0,0,0
RPRC007670,2169,1544,617,414
RPRC007689,1045,602,924,614
RPRC007688,213,147,164,117
RPRC007668,725,486,482,305
RPRC007667,32283,20803,8798,7897
RPRC007666,84,42,25,25
RPRC007687,52,51,29,19
RPRC007665,212,185,155,88
RPRC007685,1376,866,682,488
RPRC007662,175,137,89,108
RPRC007675,1622,1106,859,488
RPRC001549,23,17,6,1
RPRC008459,322,220,217,159
RPRC008403,3210,2083,894,819
RPRC008458,430,313,149,96
RPRC008457,329,294,178,155
RPRC008456,472,336,229,166
RPRC008455,566,331,546,323
RPRC008454,0,0,0,0
RPRC008401,1,1,1,0
RPRC008420,2,7,0,0
RPRC008421,1106,871,436,306
RPRC008422,4,0,0,0
RPRC001550,497,374,264,141
RPRC000176,67,29,9,1
RPRC008366,1181,786,438,318
RPRC008453,1941,1273,595,395
RPRC008451,4,4,2,0
RPRC008440,5,9,0,4
RPRC008432,165,219,73,64
RPRC008439,0,0,0,0
