gene,Rep1_CondA_Counts,Rep2_CondA_Counts,Rep1_CondB_Counts,Rep2_CondB_Counts,Rep1_CondA_CPM,Rep2_CondA_CPM,Rep1_CondB_CPM,Rep2_CondB_CPM
RPRC002285,6,21,0,0,0.30,1.52,0.00,0.00
RPRC002284,1,1,0,1,0.05,0.07,0.00,0.17
RPRC009982,2,1,0,0,0.10,0.07,0.00,0.00
RPRC000450,1934,1263,956,626,96.20,91.45,119.62,106.49
RPRC002351,218,147,126,84,10.84,10.64,15.77,14.29
RPRC002350,3386,2478,1511,1026,168.42,179.42,189.06,174.53
RPRC002352,7448,6165,3266,2309,370.47,446.37,408.65,392.77
RPRC002366,2239,1460,744,537,111.37,105.71,93.09,91.35
RPRC002349,21,8,4,4,1.04,0.58,0.50,0.68
RPRC001072,140,85,13,12,6.96,6.15,1.63,2.04
RPRC002365,0,0,0,0,0.00,0.00,0.00,0.00
RPRC002364,0,0,0,0,0.00,0.00,0.00,0.00
RPRC001073,21,10,0,3,1.04,0.72,0.00,0.51
RPRC002363,0,1,0,0,0.00,0.07,0.00,0.00
RPRC002362,1,1,0,0,0.05,0.07,0.00,0.00
RPRC002361,2,0,0,0,0.10,0.00,0.00,0.00
RPRC010988,337,287,43,24,16.76,20.78,5.38,4.08
RPRC010984,32,19,0,0,1.59,1.38,0.00,0.00
RPRC010964,268,152,51,43,13.33,11.01,6.38,7.31
RPRC001074,2462,1841,810,566,122.46,133.29,101.35,96.28
RPRC010983,4,3,3,0,0.20,0.22,0.38,0.00
RPRC010981,5733,4041,2194,1991,285.16,292.58,274.52,338.68
RPRC010960,4899,3891,2869,2287,243.68,281.72,358.98,389.03
RPRC010979,2209,1542,1843,1499,109.88,111.65,230.60,254.99
RPRC010977,129,86,41,30,6.42,6.23,5.13,5.10
RPRC010976,866,525,634,355,43.08,38.01,79.33,60.39
RPRC010968,5753,3606,1189,909,286.16,261.09,148.77,154.63
RPRC006457,0,0,0,0,0.00,0.00,0.00,0.00
RPRC000786,0,0,1,0,0.00,0.00,0.13,0.00
RPRC001134,0,0,0,0,0.00,0.00,0.00,0.00
RPRC008302,3956,3198,990,811,196.77,231.55,123.87,137.96
RPRC008441,547,387,83,68,27.21,28.02,10.39,11.57
RPRC008303,1806,1269,441,385,89.83,91.88,55.18,65.49
